Team	League	N.Home	Avg.Home	Pct.Home	N.Away	Avg.Away	Pct.Away
NY_Yankees	American	41	45715	87.4	44	35029	78.6
Philadelphia	National	39	45035	103.5	45	31931	73.2
LA_Dodgers	National	43	44737	79.9	41	30874	72.2
St._Louis	National	42	39950	85.3	43	31693	70.8
LA_Angels	American	44	39534	87.8	44	30378	68
Minnesota	American	43	39336	99.6	42	28650	64.8
Chicago_Cubs	National	43	38533	93.7	43	30276	69.2
Boston	American	46	37592	100.9	39	32029	71.7
San_Francisco	National	42	36242	87.3	43	27787	63
Milwaukee	National	43	34540	81.5	43	28952	65.9
Colorado	National	43	34099	67.6	41	29789	68
NY_Mets	National	42	33208	79.1	42	27829	67.5
Atlanta	National	40	29993	59.9	45	31502	72.2
Detroit	American	42	29508	73.5	41	30768	69.2
Houston	National	43	27229	66.5	43	33897	74.3
Texas	American	47	26976	54.9	38	28441	66.1
Seattle	American	42	26377	55.2	43	26641	59.5
Arizona	National	43	25660	52.3	43	31924	70.5
Chicago_White_Sox	American	43	25127	61.9	41	25470	58
San_Diego	National	46	23737	55.9	39	27312	62.6
Washington	National	43	23174	55.3	43	30559	70.2
Baltimore	American	41	23100	47.9	44	28830	65.3
Cincinnati	National	46	22850	54.3	41	26648	62.7
Tampa_Bay	American	43	22006	50.3	42	26899	61.3
Kansas_City	American	39	20755	54.4	46	26235	59.9
Pittsburgh	National	39	20175	52.6	46	29019	65.3
Toronto	American	43	19190	38.4	43	25189	55.7
Oakland	American	43	18172	41.6	43	28743	64
Florida	National	44	16664	49.2	40	31994	71.1
Cleveland	American	39	16230	37.4	46	29799	69
