"Year"	"Tms"	"N.Bat"	"BatAge"	"R"	"G"	"PA"	"AB"	"H"	"X2B"	"X3B"	"HR"	"RBI"	"SB"	"CS"	"BB"	"SO"	"BA"	"OBP"	"SLG"	"OPS"	"TB"	"GDP"	"HBP"	"SH"	"SF"	"IBB"
"1"	2010	30	1008	29.2	4.46	2648	38.24	33.99	8.82	1.79	0.18	0.94	4.25	0.62	0.24	3.32	6.94	0.259	0.329	0.406	0.735	13.8	0.78	0.32	0.34	0.28	0.24
"2"	2009	30	1156	28.8	4.61	4860	38.49	34.13	8.96	1.8	0.2	1.04	4.4	0.61	0.23	3.42	6.91	0.262	0.333	0.418	0.751	14.26	0.78	0.33	0.34	0.28	0.24
"3"	2008	30	1188	28.8	4.65	4856	38.64	34.33	9.06	1.86	0.18	1	4.44	0.58	0.21	3.36	6.77	0.264	0.333	0.416	0.749	14.29	0.8	0.34	0.31	0.28	0.27
"4"	2007	30	1173	29.1	4.8	4862	38.79	34.51	9.25	1.89	0.19	1.02	4.58	0.6	0.21	3.31	6.62	0.268	0.336	0.423	0.758	14.59	0.82	0.36	0.32	0.3	0.27
"5"	2006	30	1134	29.2	4.86	4858	38.71	34.45	9.28	1.88	0.2	1.11	4.63	0.57	0.23	3.26	6.52	0.269	0.337	0.432	0.768	14.88	0.81	0.37	0.34	0.29	0.29
"6"	2005	30	1141	29.2	4.59	4862	38.31	34.21	9.05	1.82	0.18	1.03	4.37	0.53	0.22	3.13	6.3	0.264	0.33	0.419	0.749	14.33	0.8	0.37	0.33	0.27	0.25
"7"	2004	30	1136	29.3	4.81	4856	38.82	34.46	9.17	1.84	0.18	1.12	4.58	0.53	0.23	3.34	6.55	0.266	0.335	0.428	0.763	14.74	0.78	0.38	0.36	0.28	0.28
"8"	2003	30	1134	29.2	4.73	4860	38.57	34.31	9.07	1.82	0.19	1.07	4.5	0.53	0.23	3.27	6.34	0.264	0.333	0.422	0.755	14.48	0.79	0.38	0.33	0.27	0.27
"9"	2002	30	1101	29.2	4.62	4852	38.46	34.13	8.92	1.79	0.19	1.04	4.4	0.57	0.26	3.35	6.47	0.261	0.331	0.417	0.748	14.22	0.79	0.36	0.34	0.29	0.3
"10"	2001	30	1137	29.1	4.78	4858	38.49	34.22	9.03	1.81	0.19	1.12	4.55	0.64	0.29	3.25	6.67	0.264	0.332	0.427	0.759	14.6	0.75	0.39	0.33	0.29	0.28
"11"	2000	30	1132	29.1	5.14	4858	39.16	34.44	9.31	1.83	0.2	1.17	4.89	0.6	0.27	3.75	6.45	0.27	0.345	0.437	0.782	15.05	0.8	0.32	0.34	0.31	0.25
"12"	1999	30	1116	28.9	5.08	4856	39.06	34.42	9.33	1.8	0.19	1.14	4.83	0.7	0.31	3.68	6.41	0.271	0.345	0.434	0.778	14.93	0.79	0.33	0.33	0.3	0.23
"13"	1998	30	1097	28.9	4.79	4864	38.7	34.36	9.15	1.8	0.18	1.04	4.54	0.68	0.31	3.38	6.56	0.266	0.335	0.42	0.755	14.44	0.76	0.33	0.35	0.29	0.22
"14"	1997	28	1051	28.9	4.77	4532	38.73	34.3	9.15	1.77	0.19	1.02	4.52	0.73	0.35	3.46	6.61	0.267	0.337	0.419	0.756	14.38	0.76	0.32	0.35	0.31	0.26
"15"	1996	28	905	28.8	5.04	4534	39.09	34.58	9.33	1.76	0.19	1.09	4.76	0.71	0.3	3.55	6.46	0.27	0.34	0.427	0.767	14.76	0.8	0.31	0.34	0.31	0.3
"16"	1995	28	901	28.6	4.85	4034	38.84	34.35	9.17	1.72	0.2	1.01	4.57	0.73	0.31	3.53	6.3	0.267	0.338	0.417	0.755	14.33	0.78	0.3	0.37	0.29	0.27
"17"	1994	28	782	28.7	4.92	3200	38.9	34.46	9.29	1.79	0.22	1.03	4.64	0.71	0.32	3.48	6.18	0.27	0.339	0.424	0.763	14.62	0.76	0.27	0.38	0.31	0.32
"18"	1993	28	900	28.4	4.6	4538	38.46	34.15	9.05	1.64	0.21	0.89	4.32	0.72	0.37	3.33	5.8	0.265	0.332	0.403	0.736	13.77	0.76	0.26	0.4	0.32	0.33
"19"	1992	26	806	28.4	4.12	4212	38.11	33.93	8.68	1.56	0.2	0.72	3.87	0.77	0.38	3.25	5.59	0.256	0.322	0.377	0.7	12.8	0.74	0.23	0.4	0.31	0.31
"20"	1991	26	816	28.4	4.31	4208	38.2	33.98	8.69	1.54	0.21	0.8	4.05	0.74	0.37	3.32	5.8	0.256	0.323	0.385	0.708	13.07	0.72	0.22	0.39	0.3	0.29
"21"	1990	26	809	28.4	4.26	4210	38.08	33.91	8.75	1.55	0.21	0.79	3.99	0.78	0.36	3.29	5.67	0.258	0.325	0.385	0.71	13.07	0.73	0.2	0.37	0.3	0.33
"22"	1989	26	797	28.5	4.13	4212	37.99	33.91	8.62	1.5	0.21	0.73	3.85	0.74	0.34	3.21	5.61	0.254	0.32	0.375	0.695	12.72	0.73	0.19	0.39	0.29	0.34
"23"	1988	26	769	28.3	4.14	4200	37.94	33.94	8.63	1.52	0.2	0.76	3.86	0.79	0.34	3.09	5.56	0.254	0.318	0.378	0.696	12.82	0.73	0.22	0.39	0.3	0.33
"24"	1987	26	796	28.3	4.72	4210	38.45	34.23	9	1.61	0.21	1.06	4.44	0.85	0.36	3.42	5.96	0.263	0.331	0.415	0.747	14.22	0.74	0.2	0.35	0.26	0.31
