time	album
169	BBC_tapes
125	BBC_tapes
210	BBC_tapes
118	BBC_tapes
117	BBC_tapes
135	BBC_tapes
128	BBC_tapes
120	BBC_tapes
122	BBC_tapes
164	BBC_tapes
174	BBC_tapes
155	BBC_tapes
120	BBC_tapes
159	BBC_tapes
121	BBC_tapes
144	BBC_tapes
129	BBC_tapes
136	BBC_tapes
124	BBC_tapes
138	BBC_tapes
195	BBC_tapes
141	BBC_tapes
156	BBC_tapes
179	BBC_tapes
109	BBC_tapes
112	BBC_tapes
167	BBC_tapes
113	BBC_tapes
133	BBC_tapes
153	BBC_tapes
141	BBC_tapes
150	Rubber_Soul
126	Rubber_Soul
202	Rubber_Soul
165	Rubber_Soul
139	Rubber_Soul
164	Rubber_Soul
162	Rubber_Soul
171	Rubber_Soul
154	Rubber_Soul
147	Rubber_Soul
148	Rubber_Soul
137	Rubber_Soul
144	Rubber_Soul
139	Rubber_Soul
159	Revolver
128	Revolver
181	Revolver
181	Revolver
146	Revolver
161	Revolver
157	Revolver
130	Revolver
121	Revolver
122	Revolver
135	Revolver
150	Revolver
151	Revolver
177	Revolver
168	Magical_Mystery_Tour
180	Magical_Mystery_Tour
136	Magical_Mystery_Tour
230	Magical_Mystery_Tour
153	Magical_Mystery_Tour
275	Magical_Mystery_Tour
204	Magical_Mystery_Tour
245	Magical_Mystery_Tour
177	Magical_Mystery_Tour
187	Magical_Mystery_Tour
237	Magical_Mystery_Tour
119	Sargent_Pepper
166	Sargent_Pepper
205	Sargent_Pepper
167	Sargent_Pepper
153	Sargent_Pepper
204	Sargent_Pepper
156	Sargent_Pepper
303	Sargent_Pepper
158	Sargent_Pepper
163	Sargent_Pepper
155	Sargent_Pepper
80	Sargent_Pepper
303	Sargent_Pepper
165	The_White_Album
240	The_White_Album
130	The_White_Album
190	The_White_Album
62	The_White_Album
185	The_White_Album
286	The_White_Album
167	The_White_Album
148	The_White_Album
121	The_White_Album
140	The_White_Album
124	The_White_Album
213	The_White_Album
232	The_White_Album
102	The_White_Album
106	The_White_Album
177	The_White_Album
160	The_White_Album
241	The_White_Album
166	The_White_Album
145	The_White_Album
195	The_White_Album
270	The_White_Album
188	The_White_Album
253	The_White_Album
162	The_White_Album
175	The_White_Album
191	The_White_Album
495	The_White_Album
194	The_White_Album
