age	time
20	244
20	213
20	274
20	240
20	225
20	269
20	214
20	223
20	271
20	237
20	232
20	229
20	209
20	272
20	230
20	229
20	203
20	236
20	222
20	239
20	233
20	150
30	194
30	207
30	259
30	287
30	319
30	252
30	237
30	330
30	236
30	210
30	226
30	213
30	241
30	235
30	194
30	216
30	272
30	227
30	278
30	211
30	219
30	259
30	237
30	234
30	205
40	286
40	256
40	247
40	166
40	275
40	284
40	239
40	235
40	163
40	214
40	227
40	346
40	210
40	223
40	238
40	221
40	271
40	224
40	248
40	231
40	314
40	224
40	258
40	244
40	262
50	281
50	287
50	222
50	251
50	253
50	302
50	235
50	231
50	254
50	253
50	262
50	231
50	230
50	284
50	326
50	349
50	269
50	327
50	258
50	270
50	260
50	279
50	263
50	245
50	271
60	219
60	338
60	278
60	315
60	278
60	258
60	274
60	233
60	280
60	270
60	271
	
