year	minutes
1897	175
1898	162
1899	174
1900	159
1901	149
1902	163
1903	161
1904	158
1905	158
1906	165
1907	144
1908	145
1909	173
1910	148
1911	141
1912	141
1913	145
1914	145
1915	151
1916	147
1917	148
1919	149
1920	149
1921	138
1922	138
1923	143
1924	149
1925	153
1926	145
1927	160
1928	157
1929	153
1930	154
1931	166
1932	153
1933	151
1934	152
1935	152
1936	153
1937	153
1938	155
1939	148
1940	148
1941	150
1942	146
1943	148
1944	151
1945	150
1946	149
1947	145
1948	151
1949	151
1950	152
1951	147
1952	151
1953	138
1954	140
1955	138
1956	134
1957	140
1958	145
1959	142
1960	140
1961	143
1962	143
1963	138
1964	139
1965	136
1966	137
1967	135
1968	142
1969	133
1970	130
1971	138
1972	135
1973	136
1974	133
1975	129
1976	140
1977	134
1978	130
1979	129
1980	132
1981	129
1982	128
1983	129
1984	130
1985	134
1986	127
1987	131
1988	128
1989	129
1990	128
1991	131
1992	128
1993	129
1994	127
1995	129
1996	129
