Game	Attendance
1	320
2	261
3	332
4	378
5	341
6	277
7	331
8	360
9	288
10	270
11	255
12	270
13	262
14	302
15	382
16	331
17	277
18	300
19	419
20	295
21	275
22	324
23	207
24	332
25	449
26	325
27	380
28	461
29	341
30	313
31	329
32	366
33	491
34	369
35	384
36	394
37	490
38	377
39	339
40	357
41	316
42	398
43	488
44	371
45	385
46	395
47	379
48	382
49	386
50	427
51	474
52	487
53	432
54	343
55	309
56	352
57	297
58	296
59	312
60	364
61	490
62	428
63	298
64	270
65	298
66	296
67	288
68	295
69	299
70	435
71	489
72	454
