year	month	worship
1993	1	336
1993	1	264
1993	1	382
1993	1	325
1993	1	346
1993	2	464
1993	2	297
1993	2	293
1993	2	292
1993	3	311
1993	3	304
1993	3	297
1993	3	343
1993	4	356
1993	4	458
1993	4	265
1993	4	286
1993	5	320
1993	5	356
1993	5	323
1993	5	384
1993	5	285
1993	6	322
1993	6	320
1993	6	289
1993	6	264
1993	7	220
1993	7	290
1993	7	264
1993	7	266
1993	8	307
1993	8	238
1993	8	301
1993	8	299
1993	8	356
1993	9	270
1993	9	282
1993	9	293
1993	9	328
1993	10	329
1993	10	344
1993	10	345
1993	10	384
1993	10	413
1993	11	413
1993	11	369
1993	11	430
1993	11	396
1993	12	380
1993	12	415
1993	12	376
1993	12	237
1994	1	316
1994	1	329
1994	1	335
1994	1	372
1994	1	374
1994	2	405
1994	2	370
1994	2	364
1994	2	367
1994	3	408
1994	3	393
1994	3	335
1994	3	396
1994	4	493
1994	4	396
1994	4	444
1994	4	387
1994	5	480
1994	5	429
1994	5	399
1994	5	398
1994	5	302
1994	6	327
1994	6	352
1994	6	357
1994	6	369
1994	7	300
1994	7	297
1994	7	322
1994	7	312
1994	7	310
1994	8	278
1994	8	300
1994	8	317
1994	8	301
1994	9	309
1994	9	341
1994	9	352
1994	9	334
1994	10	373
1994	10	327
1994	10	332
1994	10	349
1994	10	399
1994	11	351
1994	11	393
1994	11	396
1994	11	359
1994	12	403
1994	12	369
1994	12	495
1994	12	205
1995	1	234
1995	1	394
1995	1	417
1995	1	186
1995	1	406
1995	2	397
1995	2	310
1995	2	425
1995	2	319
1995	3	364
1995	3	370
1995	3	364
1995	3	356
1995	4	339
1995	4	369
1995	4	539
1995	4	414
1995	4	388
1995	5	395
1995	5	374
1995	5	384
1995	5	325
1995	6	329
1995	6	355
1995	6	392
1995	6	331
1995	7	309
1995	7	284
1995	7	307
1995	7	327
1995	7	348
1995	8	373
1995	8	332
1995	8	355
1995	8	324
1995	9	324
1995	9	388
1995	9	415
1995	9	409
1995	10	428
1995	10	365
1995	10	414
1995	10	394
1995	10	402
1995	11	410
1995	11	404
1995	11	387
1995	11	392
1995	12	401
1995	12	455
1995	12	408
1995	12	379
1995	12	326
1996	1	373
1996	1	439
1996	1	349
1996	1	388
1996	2	421
1996	2	363
1996	2	362
1996	2	406
1996	3	359
1996	3	426
1996	3	418
1996	3	535
1996	3	352
1996	4	522
1996	4	398
1996	4	427
1996	4	384
1996	5	409
1996	5	472
1996	5	377
1996	5	344
1996	6	401
1996	6	375
1996	6	342
1996	6	416
1996	6	342
1996	7	332
1996	7	372
1996	7	293
1996	7	343
1996	8	322
1996	8	357
1996	8	299
1996	8	348
1996	9	339
1996	9	429
1996	9	470
1996	9	438
1996	9	407
1996	10	395
1996	10	355
1996	10	402
1996	10	455
1996	11	422
1996	11	425
1996	11	426
1996	11	399
1996	12	343
1996	12	479
1996	12	399
1996	12	381
1996	12	289
