School	Tier	Type	Reputation	F.retention	a.grad.rate	Under.20	Over.50	Full.time	Top.10	Acc.rate	Alum.giving
Princeton_University	1	private	4.9	0.99	0.97	0.71	0.11	0.92	0.92	0.12	0.66
Harvard_University	1	private	4.9	0.96	0.97	0.69	0.13	0.91	0.9	0.11	0.46
Yale_University	1	private	4.9	0.98	0.95	0.75	0.08	0.9	0.95	0.16	0.46
California_Institute_of_Technology	1	private	4.7	0.94	0.82	0.76	0.05	0.96	0.98	0.13	0.39
Massachusetts_Inst._of_Technology	1	private	4.9	0.98	0.91	0.58	0.16	0.89	0.97	0.16	0.41
Stanford_University	1	private	4.9	0.98	0.93	0.69	0.14	0.99	0.89	0.13	0.4
University_of_Pennsylvania	1	private	4.5	0.97	0.91	0.7	0.08	0.89	0.92	0.23	0.41
Duke_University	1	private	4.6	0.97	0.93	0.69	0.07	0.98	0.86	0.26	0.45
Columbia_University	1	private	4.6	0.98	0.88	0.68	0.09	0.93	0.87	0.13	0.32
Dartmouth_College	1	private	4.4	0.96	0.92	0.57	0.11	0.88	0.86	0.21	0.48
University_of_Chicago	1	private	4.7	0.94	0.85	0.68	0.03	0.95	0.82	0.44	0.33
Northwestern_University	1	private	4.4	0.96	0.92	0.69	0.08	0.94	0.84	0.33	0.29
Rice_University	1	private	4.3	0.96	0.89	0.68	0.09	0.89	0.84	0.23	0.38
Cornell_University	1	private	4.6	0.96	0.9	0.49	0.21	0.98	0.82	0.31	0.37
Washington_University	1	private	4.1	0.96	0.86	0.71	0.09	0.9	0.85	0.3	0.4
Brown_University	1	private	4.4	0.97	0.94	0.58	0.14	0.93	0.87	0.16	0.44
Johns_Hopkins_University	1	private	4.7	0.96	0.85	0.53	0.18	0.93	0.7	0.32	0.28
Emory_University	1	private	4	0.92	0.87	0.65	0.07	0.96	0.9	0.45	0.37
University_of_Notre_Dame	1	private	3.9	0.98	0.94	0.54	0.11	0.85	0.84	0.34	0.48
University_of_California_Berkeley	1	state	4.8	0.95	0.83	0.58	0.16	0.92	0.99	0.26	0.18
University_of_Virginia	1	state	4.4	0.97	0.91	0.5	0.15	0.96	0.83	0.39	0.29
Vanderbilt_University	1	private	4.1	0.92	0.84	0.7	0.05	0.93	0.71	0.55	0.31
Carnegie_Mellon_University	1	private	4.2	0.92	0.76	0.68	0.08	0.96	0.72	0.36	0.28
Georgetown_University	1	private	4	0.96	0.92	0.59	0.09	0.87	0.78	0.22	0.3
University_of_Michigan_Ann_Arbor	1	state	4.6	0.95	0.82	0.5	0.15	0.92	0.67	0.55	0.13
Univ._of_California_Los_Angeles	1	state	4.3	0.96	0.8	0.47	0.24	0.91	0.97	0.29	0.12
Wake_Forest_University	1	private	3.4	0.93	0.87	0.61	0.02	0.93	0.67	0.49	0.36
Tufts_University	1	private	3.6	0.96	0.89	0.71	0.05	0.82	0.73	0.26	0.3
U._of_North_Carolina	1	state	4.2	0.94	0.79	0.41	0.12	0.96	0.65	0.37	0.25
College_of_William_and_Mary	1	state	3.8	0.96	0.89	0.46	0.09	0.92	0.79	0.41	0.29
Univ._of_California_San_Diego	1	state	3.9	0.94	0.78	0.5	0.28	0.94	0.99	0.38	0.09
New_York_University	1	private	3.7	0.9	0.74	0.63	0.09	0.77	0.7	0.29	0.18
