winner	loser
50	0
0	0
55	0
24	3
28	20
8	7
21	14
24	6
3	0
17	16
27	9
35	14
28	14
10	7
27	12
14	0
28	6
14	10
16	14
20	9
29	0
34	14
37	3
38	0
14	7
28	7
24	21
19	7
51	21
28	9
14	7
49	6
8	7
28	23
17	14
41	20
30	13
38	7
31	7
36	30
12	9
23	13
31	28
12	7
38	21
31	7
40	28
21	6
30	0
34	16
42	14
48	7
21	14
39	36
26	0
2	0
42	10
38	7
20	10
22	0
14	12
14	14
25	10
25	24
28	26
22	17
21	13
61	8
14	9
56	28
28	3
37	31
7	7
22	0
21	6
34	17
34	8
34	14
30	20
14	0
28	0
38	9
28	7
28	22
28	21
28	12
16	12
14	6
37	0
7	6
27	19
48	8
28	7
29	17
32	27
24	16
12	0
33	14
12	4
39	0
31	6
6	3
31	6
24	19
27	18
9	8
42	10
35	14
14	10
49	15
21	14
28	14
20	13
17	9
28	17
24	24
34	7
29	6
21	18
38	16
44	6
27	7
20	14
31	23
55	0
28	21
24	0
31	3
24	16
43	6
57	0
26	15
26	15
9	6
42	0
52	22
42	6
31	3
26	7
9	6
55	0
13	11
28	6
39	0
42	21
18	6
17	15
18	6
9	6
46	42
35	6
43	7
26	22
21	6
25	0
3	0
14	0
49	7
22	15
10	6
10	8
10	7
24	0
30	2
5	0
31	13
22	21
25	21
25	0
21	0
56	21
41	3
47	7
35	21
29	14
31	20
57	7
41	3
33	13
33	20
22	14
39	32
39	3
29	21
55	37
28	7
45	18
14	13
19	0
41	7
36	27
23	13
7	2
28	15
68	0
34	0
42	0
32	14
45	14
28	7
55	7
32	10
53	0
21	14
50	14
51	12
24	13
24	21
48	7
33	23
48	3
31	0
31	21
68	0
63	7
14	6
41	38
12	0
27	6
36	26
38	20
38	29
35	7
31	14
21	13
21	0
22	0
31	21
23	6
63	7
45	29
17	13
38	34
38	37
16	15
42	0
20	17
38	14
20	14
28	12
47	14
61	0
19	17
26	13
33	29
39	6
34	27
10	9
25	21
47	8
21	7
22	8
21	14
39	7
33	7
33	6
25	18
28	17
38	10
43	27
23	20
7	7
48	22
31	25
42	0
48	24
14	7
49	10
17	0
33	19
40	10
23	20
27	23
14	9
35	19
27	13
3	3
45	40
21	12
35	9
17	0
13	9
24	21
33	8
38	0
9	6
54	0
34	9
34	0
26	10
20	12
22	9
27	10
32	7
41	6
14	3
62	14
28	6
34	6
10	6
33	10
44	7
17	10
27	17
39	6
21	20
21	16
20	14
35	0
59	26
49	14
42	0
34	13
40	14
10	3
37	16
38	27
26	24
38	14
38	7
21	6
17	10
17	10
20	16
58	20
27	20
24	23
28	14
34	14
42	0
30	13
35	14
45	17
34	3
17	7
7	3
18	14
35	24
52	38
42	0
29	24
14	10
31	7
10	7
38	28
20	7
24	14
33	32
40	22
28	13
56	28
41	6
33	7
21	6
68	0
28	7
40	24
14	14
28	27
28	7
40	28
26	20
31	9
36	10
45	13
17	13
17	14
20	17
49	14
28	21
36	19
47	45
28	14
43	26
47	5
50	18
26	15
21	14
41	19
44	30
33	28
26	7
31	29
61	10
33	7
42	23
49	10
36	0
28	14
21	20
38	14
31	10
29	23
50	34
21	14
39	23
28	25
43	3
14	6
33	27
28	7
43	7
46	25
62	7
42	21
73	14
44	28
44	28
7	7
21	7
21	10
31	0
35	17
21	20
9	6
60	10
38	27
49	35
41	29
30	28
21	12
13	6
24	21
41	6
28	7
31	20
35	6
27	0
48	0
31	20
19	7
56	14
20	15
50	28
42	0
55	14
15	0
35	27
21	10
30	13
16	9
28	18
48	14
23	14
24	10
26	21
21	7
45	32
16	9
28	7
19	16
37	33
63	44
45	35
49	7
27	11
56	10
35	21
30	25
39	37
24	22
31	30
37	21
34	24
30	24
