YEARS	HOMERUNS
1900	48
1900	26
1900	33
1900	33
1900	23
1900	29
1900	25
1900	36
1910	43
1910	7
1910	9
1910	26
1910	20
1910	19
1910	12
1910	9
1910	31
1910	25
1910	34
1910	23
1910	31
1910	22
1910	33
1910	15
1920	22
1920	37
1920	35
1920	30
1920	115
1920	55
1920	50
1920	36
1920	23
1920	28
1920	34
1920	18
1920	46
1920	64
1920	16
1920	32
1930	47
1930	63
1930	72
1930	82
1930	152
1930	125
1930	75
1930	57
1930	66
1930	122
1930	171
1930	74
1930	143
1930	126
1930	86
1930	104
1940	145
1940	73
1940	101
1940	134
1940	155
1940	105
1940	118
1940	52
1940	59
1940	93
1940	86
1940	89
1940	91
1940	75
1940	76
1940	119
1950	161
1950	93
1950	164
1950	114
1950	159
1950	100
1950	106
1950	76
1950	148
1950	194
1950	161
1950	99
1950	133
1950	125
1950	138
1950	102
1960	123
1960	124
1960	112
1960	127
1960	150
1960	110
1960	193
1960	147
1960	119
1960	140
1960	126
1960	170
1960	99
1960	120
1960	130
1960	138
1970	179
1970	203
1970	114
1970	123
1970	183
1970	148
1970	97
1970	126
1970	153
1970	111
1970	171
1970	138
1970	160
1970	179
1970	191
1970	129
1970	87
1970	136
1970	120
1970	101
1970	130
1970	172
1970	165
1970	113
1980	156
1980	162
1980	106
1980	91
1980	89
1980	143
1980	115
1980	203
1980	99
1980	189
1980	137
1980	104
1980	124
1980	126
1980	144
1980	107
1980	113
1980	75
1980	148
1980	114
1980	61
1980	117
1980	116
1980	67
1980	80
1980	101
1990	132
1990	106
1990	147
1990	106
1990	110
1990	172
1990	100
1990	128
1990	100
1990	147
1990	164
1990	107
1990	110
1990	167
1990	162
1990	136
1990	125
1990	94
1990	129
1990	114
1990	172
1990	103
1990	138
1990	123
1990	152
1990	73
2000	161
2000	249
2000	226
2000	235
2000	200
2000	179
2000	198
2000	211
2000	168
2000	179
2000	183
2000	157
2000	178
2000	160
2000	177
2000	144
2000	216
2000	239
2000	221
2000	198
2000	150
2000	205
2000	236
2000	244
2000	173
2000	177
2000	184
2000	167
2000	116
2000	162
