Ocean	Name	Area
Arctic	Axel_Heilberg	16671
Arctic	Baffin	195928
Arctic	Banks	27038
Arctic	Bathurst	6194
Arctic	Devon	21331
Arctic	Ellesmere	75767
Arctic	Melville	16274
Arctic	Prince_of_Wales	12872
Arctic	Xomerset	9570
Arctic	Southampton	15913
Arctic	Victoria	83896
Arctic	Franz_Josef_Land	8000
Arctic	Novaya_Zemiya	35000
Arctic	Wrangel	2800
Arctic	Svalbard	23940
Caribbean	Antigua	108
Caribbean	Aruba	75
Caribbean	Barbados	166
Caribbean	Cuba	44218
Caribbean	Curacao	171
Caribbean	Dominica	290
Caribbean	Guadeloupe	687
Caribbean	"Hispaniola,_Haiti,_and_Dominican_Republic"	29530
Caribbean	Jamaica	4244
Caribbean	Martinique	425
Caribbean	Puerto_Rico	3515
Caribbean	Tobago	116
Caribbean	Trinidad	1864
Caribbean	"Virgin_In,_UK"	59
Caribbean	"Virgin_In,_US"	132
Indian	Anadaman_Is	2500
Indian	Madagascar	226658
Indian	Maaurritius	720
Indian	Pemba	380
Indian	Reunion	969
Indian	Seychelles	171
Indian	Sri_Lanka	25332
Indian	Zanzibar	640
Mediterranean	Balearic	1936
Mediterranean	Corfu	229
Mediterranean	Corsica	3369
Mediterranean	Crete	3186
Mediterranean	Cyprus	3572
Mediterranean	Elba	86
Mediterranean	Euboea	1409
Mediterranean	Malta	122
Mediterranean	Rhodes	542
Mediterranean	Sardinia	9262
Mediterranean	Sicily	9822
East_Indies	Bali	2147
East_Indies	Borneo	280100
East_Indies	Celebes	69000
East_Indies	Java	48900
East_Indies	Madura	2113
East_Indies	Moluccas	28766
East_Indies	New_Britain	14093
East_Indies	New_Irelands	3707
East_Indies	Sumatra	165000
East_Indies	Timor	11570
