Area	Depth	PH	Wshed	Hions
5.500000000e+001	1.900000000e+001	7.100000000e+000	8.000000000e-001	1.000000000e-007
2.600000000e+001	1.400000000e+001	6.100000000e+000	3.000000000e-001	8.000000000e-007
1.065000000e+003	3.600000000e+001	7.600000000e+000	6.300000000e+000	0.000000000e+000
2.130000000e+002	7.100000000e+001	7.600000000e+000	4.000000000e+000	0.000000000e+000
1.463000000e+003	3.500000000e+001	8.200000000e+000	3.300000000e+001	0.000000000e+000
1.800000000e+002	2.400000000e+001	7.100000000e+000	5.000000000e+000	1.000000000e-007
4.330000000e+002	5.600000000e+001	6.800000000e+000	2.500000000e+000	2.000000000e-007
4.370000000e+002	3.000000000e+001	7.400000000e+000	2.000000000e+000	0.000000000e+000
2.070000000e+002	3.400000000e+001	7.400000000e+000	1.700000000e+000	0.000000000e+000
9.800000000e+001	1.700000000e+001	7.000000000e+000	1.500000000e+000	1.000000000e-007
3.300000000e+001	3.200000000e+001	6.600000000e+000	2.000000000e-001	3.000000000e-007
3.000000000e+001	1.000000000e+001	6.200000000e+000	1.000000000e+000	6.000000000e-007
1.760000000e+002	1.700000000e+001	7.300000000e+000	1.000000000e+000	1.000000000e-007
5.500000000e+001	4.300000000e+001	6.000000000e+000	5.000000000e-001	1.000000000e-006
9.600000000e+001	1.400000000e+001	7.800000000e+000	1.000000000e+000	0.000000000e+000
2.300000000e+001	1.800000000e+001	6.500000000e+000	3.000000000e-001	3.000000000e-007
2.820000000e+002	2.400000000e+001	7.400000000e+000	2.000000000e+000	0.000000000e+000
1.240000000e+002	1.700000000e+001	7.000000000e+000	1.500000000e+000	1.000000000e-007
2.200000000e+001	1.400000000e+001	6.900000000e+000	2.000000000e-001	1.000000000e-007
2.230000000e+002	1.700000000e+001	5.700000000e+000	1.500000000e+000	2.000000000e-006
1.070000000e+002	2.600000000e+001	6.800000000e+000	8.000000000e-001	2.000000000e-007
1.120000000e+002	3.300000000e+001	7.200000000e+000	1.200000000e+000	1.000000000e-007
1.610000000e+002	2.500000000e+001	6.400000000e+000	1.000000000e+000	4.000000000e-007
3.010000000e+002	2.400000000e+001	8.600000000e+000	8.800000000e+001	0.000000000e+000
5.900000000e+001	7.000000000e+000	7.300000000e+000	2.000000000e+000	1.000000000e-007
8.800000000e+001	1.300000000e+001	6.000000000e+000	7.000000000e-001	1.000000000e-006
9.700000000e+001	5.000000000e+001	8.600000000e+000	2.000000000e+000	0.000000000e+000
1.260000000e+002	3.700000000e+001	6.900000000e+000	1.000000000e+000	1.000000000e-007
3.560000000e+002	1.700000000e+001	7.000000000e+000	2.000000000e+000	1.000000000e-007
1.480000000e+002	5.000000000e+001	6.800000000e+000	8.000000000e-001	2.000000000e-007
3.970000000e+002	2.600000000e+001	6.900000000e+000	2.000000000e+000	1.000000000e-007
8.900000000e+001	9.000000000e+000	5.800000000e+000	1.000000000e+000	1.600000000e-006
2.370000000e+002	9.000000000e+000	6.600000000e+000	1.300000000e+001	3.000000000e-007
2.900000000e+001	3.300000000e+001	6.200000000e+000	2.000000000e-001	6.000000000e-007
2.380000000e+002	1.900000000e+001	6.100000000e+000	1.800000000e+000	8.000000000e-007
1.890000000e+002	1.500000000e+001	6.500000000e+000	2.500000000e+000	3.000000000e-007
5.990000000e+002	4.300000000e+001	8.600000000e+000	3.000000000e+000	0.000000000e+000
1.490000000e+002	1.100000000e+001	6.900000000e+000	6.500000000e+001	1.000000000e-007
3.400000000e+001	1.500000000e+001	5.800000000e+000	2.000000000e+000	1.600000000e-006
5.330000000e+002	3.200000000e+001	7.800000000e+000	1.200000000e+001	0.000000000e+000
4.700000000e+001	6.500000000e+001	7.100000000e+000	3.000000000e-001	1.000000000e-007
1.700000000e+002	1.100000000e+001	7.500000000e+000	6.400000000e+000	0.000000000e+000
1.130000000e+002	5.800000000e+001	7.000000000e+000	1.000000000e+000	1.000000000e-007
3.520000000e+002	1.600000000e+001	8.800000000e+000	8.000000000e+000	0.000000000e+000
1.870000000e+002	3.600000000e+001	6.400000000e+000	4.000000000e+000	4.000000000e-007
4.800000000e+001	1.300000000e+001	6.200000000e+000	8.000000000e-001	6.000000000e-007
7.600000000e+001	9.000000000e+000	5.900000000e+000	7.000000000e-001	1.300000000e-006
