"Year"	"Tms"	"N.Pitch"	"PitchAge"	"R"	"ERA"	"G"	"GF"	"CG"	"SHO"	"SV"	"IP"	"H"	"ER"	"HR"	"BB"	"IBB"	"SO"	"HBP"	"BK"	"WP"	"BF"	"WHIP"	"H.9"	"HR.9"	"BB.9"	"SO.9"	"SO.BB"	"E"	"Attendance"	"Attend.G"
"1"	2010	30	541	28.7	4.46	4.16	2648	0.96	0.04	0.01	0.25	8.9	8.82	4.11	0.94	3.32	0.24	6.94	0.32	0.04	0.35	38.25	1.364	8.9	1	3.4	7	2.09	0.7	39181597	29593
"2"	2009	30	664	28.4	4.61	4.32	4860	0.97	0.03	0.01	0.25	8.9	8.96	4.28	1.04	3.42	0.24	6.91	0.33	0.03	0.33	38.49	1.39	9.1	1	3.5	7	2.02	0.59	73430580	30218
"3"	2008	30	651	28.6	4.65	4.32	4856	0.97	0.03	0.01	0.24	8.93	9.06	4.29	1	3.36	0.27	6.77	0.34	0.03	0.32	38.64	1.391	9.1	1	3.4	6.8	2.01	0.61	78624315	32382
"4"	2007	30	666	28.7	4.8	4.47	4862	0.98	0.02	0.01	0.25	8.93	9.25	4.44	1.02	3.31	0.27	6.62	0.36	0.03	0.31	38.8	1.406	9.3	1	3.3	6.7	2	0.61	79484718	32696
"5"	2006	30	635	28.8	4.86	4.53	4858	0.97	0.03	0.01	0.25	8.9	9.28	4.48	1.11	3.26	0.29	6.52	0.37	0.03	0.31	38.71	1.408	9.4	1.1	3.3	6.6	2	0.63	76043902	31306
"6"	2005	30	606	29.2	4.59	4.29	4862	0.96	0.04	0.01	0.26	8.89	9.05	4.24	1.03	3.13	0.25	6.3	0.37	0.03	0.3	38.32	1.369	9.2	1	3.2	6.4	2.02	0.63	74915268	30816
"7"	2004	30	632	29.1	4.81	4.46	4856	0.97	0.03	0.01	0.25	8.94	9.17	4.43	1.12	3.34	0.28	6.55	0.38	0.03	0.3	38.83	1.4	9.2	1.1	3.4	6.6	1.96	0.65	73022972	30075
"8"	2003	30	612	28.7	4.73	4.4	4860	0.96	0.04	0.01	0.25	8.92	9.07	4.36	1.07	3.27	0.27	6.34	0.38	0.03	0.32	38.57	1.383	9.1	1.1	3.3	6.4	1.94	0.65	67630052	27831
"9"	2002	30	609	28.8	4.62	4.28	4852	0.96	0.04	0.02	0.25	8.92	8.92	4.24	1.04	3.35	0.3	6.47	0.36	0.03	0.31	38.46	1.376	9	1.1	3.4	6.5	1.93	0.66	67944389	28006
"10"	2001	30	591	28.7	4.78	4.42	4858	0.96	0.04	0.02	0.25	8.91	9.03	4.37	1.12	3.25	0.28	6.67	0.39	0.03	0.31	38.49	1.379	9.1	1.1	3.3	6.7	2.05	0.69	72581101	29881
"11"	2000	30	606	28.8	5.14	4.77	4858	0.95	0.05	0.01	0.24	8.9	9.31	4.72	1.17	3.75	0.25	6.45	0.32	0.03	0.31	39.16	1.468	9.4	1.2	3.8	6.5	1.72	0.71	71358907	29377
"12"	1999	30	585	28.8	5.08	4.71	4856	0.95	0.05	0.01	0.25	8.9	9.33	4.66	1.14	3.68	0.23	6.41	0.33	0.04	0.34	39.06	1.463	9.4	1.2	3.7	6.5	1.74	0.72	70139380	28887
"13"	1998	30	557	28.8	4.79	4.43	4864	0.94	0.06	0.02	0.26	8.93	9.15	4.4	1.04	3.38	0.22	6.56	0.33	0.04	0.33	38.71	1.403	9.2	1	3.4	6.6	1.94	0.71	70601147	29030
"14"	1997	28	534	28.5	4.77	4.39	4532	0.94	0.06	0.02	0.25	8.93	9.15	4.35	1.02	3.46	0.26	6.61	0.32	0.04	0.33	38.73	1.412	9.2	1	3.5	6.7	1.91	0.71	63168689	27876
"15"	1996	28	538	28.3	5.04	4.61	4534	0.94	0.06	0.02	0.25	8.95	9.33	4.58	1.09	3.55	0.3	6.46	0.31	0.04	0.34	39.1	1.44	9.4	1.1	3.6	6.5	1.82	0.74	60097381	26509
"16"	1995	28	552	28.3	4.85	4.45	4034	0.93	0.07	0.02	0.25	8.93	9.17	4.42	1.01	3.53	0.27	6.3	0.3	0.05	0.35	38.85	1.421	9.2	1	3.6	6.4	1.79	0.72	50469236	25021
"17"	1994	28	470	28.6	4.92	4.51	3200	0.92	0.08	0.02	0.24	8.93	9.29	4.48	1.03	3.48	0.32	6.18	0.27	0.05	0.36	38.9	1.43	9.4	1	3.5	6.2	1.78	0.74	50010016	31256
"18"	1993	28	507	28.4	4.6	4.19	4538	0.92	0.08	0.02	0.26	8.93	9.05	4.16	0.89	3.33	0.33	5.8	0.26	0.07	0.32	38.47	1.387	9.1	0.9	3.4	5.8	1.74	0.77	70257938	30964
"19"	1992	26	441	28.6	4.12	3.75	4212	0.9	0.1	0.03	0.26	8.98	8.68	3.74	0.72	3.25	0.31	5.59	0.23	0.05	0.31	38.12	1.328	8.7	0.7	3.3	5.6	1.72	0.73	55870466	26529
"20"	1991	26	475	28.3	4.31	3.91	4208	0.91	0.09	0.03	0.27	8.98	8.69	3.9	0.8	3.32	0.29	5.8	0.22	0.06	0.33	38.2	1.338	8.7	0.8	3.3	5.8	1.74	0.74	56813760	27002
"21"	1990	26	483	28.4	4.26	3.86	4210	0.9	0.1	0.03	0.26	8.92	8.75	3.83	0.79	3.29	0.33	5.67	0.2	0.07	0.32	38.08	1.349	8.8	0.8	3.3	5.7	1.72	0.76	54823768	26044
"22"	1989	26	449	28.6	4.13	3.71	4212	0.89	0.11	0.04	0.25	8.95	8.62	3.69	0.73	3.21	0.34	5.61	0.19	0.1	0.31	37.99	1.321	8.7	0.7	3.2	5.6	1.75	0.8	55173096	26198
"23"	1988	26	438	28.5	4.14	3.73	4200	0.85	0.15	0.04	0.25	8.97	8.63	3.72	0.76	3.09	0.33	5.56	0.22	0.22	0.3	37.95	1.307	8.7	0.8	3.1	5.6	1.8	0.77	52998904	25237
"24"	1987	26	426	28.4	4.72	4.29	4210	0.87	0.13	0.03	0.23	8.93	9	4.26	1.06	3.42	0.31	5.96	0.2	0.08	0.32	38.46	1.391	9.1	1.1	3.4	6	1.74	0.78	52011506	24708
"25"	1986	26	416	28.3	4.41	3.97	4206	0.86	0.14	0.03	0.24	8.96	8.77	3.95	0.91	3.38	0.31	5.87	0.19	0.07	0.31	38.24	1.357	8.8	0.9	3.4	5.9	1.74	0.82	47506203	22589
"26"	1985	26	413	28.3	4.33	3.89	4206	0.85	0.15	0.04	0.23	8.95	8.74	3.87	0.86	3.29	0.32	5.34	0.17	0.05	0.27	38.12	1.344	8.8	0.9	3.3	5.4	1.62	0.81	46824379	22265
"27"	1984	26	393	28.3	4.26	3.81	4210	0.85	0.15	0.04	0.24	8.96	8.88	3.79	0.77	3.16	0.3	5.34	0.16	0.07	0.27	38.14	1.345	8.9	0.8	3.2	5.4	1.69	0.84	44742863	21255
