State	Abbrev	y1960	y1970	y1980	y1990	y2000	y2008
Alabama 	    AL	64.37	67.88	76.74	79.62	87.60	91.87
Alaska 	    AK	0.40	0.53	0.70	0.96	1.10	1.20
Arizona 	    AZ	11.46	15.62	23.92	32.26	45.20	57.20
Arkansas 	    AR	34.30	36.94	43.91	45.15	51.30	54.84
California 	    CA	100.77	128.05	151.76	191.15	217.20	235.68
Colorado 	    CO	16.91	21.30	27.86	31.76	41.50	47.62
Connecticut 	    CT	523.23	625.87	641.43	678.48	702.90	722.68
Delaware 	    DE	228.33	280.57	304.23	341.00	401.10	446.92
District_of_Columbia 	    DC	12440.25	12323.58	10396.30	9884.36	9316.40	9638.97
Florida 	    FL	91.70	125.94	180.73	239.92	296.40	339.87
Georgia 	    GA	68.08	79.23	94.34	111.87	141.40	167.27
Hawaii 	    HI	98.50	119.88	150.20	172.55	188.60	200.57
Idaho 	    ID	8.06	8.62	11.41	12.17	15.60	18.42
Illinois 	    IL	181.34	199.88	205.57	205.65	223.40	232.11
Indiana 	    IN	129.98	144.85	153.07	154.58	169.50	177.79
Iowa 	    IA	49.35	50.57	52.15	49.70	52.40	53.74
Kansas 	    KS	26.63	27.49	28.89	30.28	32.90	34.25
Kentucky 	    KY	76.47	81.07	92.15	92.80	101.70	107.46
Louisiana 	    LA	74.76	83.67	96.55	96.92	102.60	101.25
Maine 	    ME	31.40	32.20	36.44	39.79	41.30	42.66
Maryland 	    MD	317.22	401.47	431.46	489.14	541.90	576.40
Massachusetts 	    MA	656.88	725.66	731.76	767.40	809.80	828.82
Michigan 	    MI	137.71	156.36	163.05	163.64	175.00	176.10
Minnesota 	    MN	42.88	47.81	51.20	54.96	61.80	65.57
Mississippi 	    MS	46.43	47.26	53.74	54.91	60.60	62.65
Missouri 	    MO	62.70	67.90	71.37	74.28	81.20	85.82
Montana 	    MT	4.64	4.77	5.40	5.49	6.20	6.65
Nebraska 	    NE	18.36	19.32	20.42	20.53	22.30	23.20
Nevada 	    NV	2.60	4.45	7.29	10.94	18.20	23.68
New_Hampshire 	    NH	67.67	82.26	102.65	123.69	137.80	146.72
New_Jersey 	    NJ	817.75	966.80	992.92	1044.55	1134.40	1170.59
New_Mexico 	    NM	7.84	8.38	10.74	12.48	15.00	16.35
New_York 	    NY	355.38	386.36	371.88	381.05	401.90	412.81
North_Carolina 	    NC	93.52	104.38	120.75	136.16	165.20	189.33
North_Dakota 	    ND	9.17	8.96	9.46	9.26	9.30	9.30
Ohio 	    OH	237.02	260.26	263.69	264.90	277.30	280.50
Oklahoma 	    OK	33.90	37.27	44.06	45.81	50.30	53.04
Oregon 	    OR	18.42	21.79	27.43	29.61	35.60	39.48
Pennsylvania 	    PA	252.55	263.31	264.72	265.14	274.00	277.76
Rhode_Island 	    RI	822.49	908.89	906.43	960.32	1003.20	1005.61
South_Carolina 	    SC	79.13	86.04	103.68	115.79	133.20	148.78
South_Dakota 	    SD	8.97	8.78	9.10	9.17	9.90	10.60
Tennessee 	    TN	86.54	95.25	111.39	118.33	138.00	150.78
Texas 	    TX	36.58	42.78	54.35	64.88	79.60	92.92
Utah 	    UT	10.84	12.90	17.79	20.97	27.20	33.31
Vermont 	    VT	42.15	48.08	55.30	60.84	65.80	67.17
Virginia 	    VA	100.18	117.48	135.04	156.32	178.80	196.22
Washington 	    WA	42.85	51.29	62.10	73.13	88.60	98.42
West_Virginia 	    WV	77.24	72.44	80.97	74.49	75.10	75.36
Wisconsin 	    WI	72.76	81.34	86.65	90.07	98.80	103.63
Wyoming 	    WY	3.40	3.42	4.84	4.67	5.10	5.49
