Salary	City	Profession
341	Amsterdam	Teacher
110	Athens	Teacher
31	Bangkok	Teacher
116	Hong_Kong	Teacher
326	Los_Angeles	Teacher
89	Singapore	Teacher
298	Amsterdam	Chauffer
106	Athens	Chauffer
34	Bangkok	Chauffer
77	Hong_Kong	Chauffer
294	Los_Angeles	Chauffer
43	Singapore	Chauffer
266	Amsterdam	Mechanic
125	Athens	Mechanic
35	Bangkok	Mechanic
59	Hong_Kong	Mechanic
363	Los_Angeles	Mechanic
52	Singapore	Mechanic
371	Amsterdam	Cook
195	Athens	Cook
125	Bangkok	Cook
147	Hong_Kong	Cook
323	Los_Angeles	Cook
103	Singapore	Cook
593	Amsterdam	Manager
320	Athens	Manager
148	Bangkok	Manager
203	Hong_Kong	Manager
593	Los_Angeles	Manager
250	Singapore	Manager
477	Amsterdam	Engineer
189	Athens	Engineer
78	Bangkok	Engineer
172	Hong_Kong	Engineer
461	Los_Angeles	Engineer
83	Singapore	Engineer
322	Amsterdam	Cashier	
161	Athens	Cashier
37	Bangkok	Cashier
115	Hong_Kong	Cashier
179	Los_Angeles	Cashier
92	Singapore	Cashier
		
