Season	City	Snowfall
1918	Buffalo	25
1919	Buffalo	69.4
1920	Buffalo	53.5
1921	Buffalo	39.8
1922	Buffalo	63.6
1923	Buffalo	46.7
1924	Buffalo	72.9
1925	Buffalo	79.6
1926	Buffalo	83.6
1927	Buffalo	80.7
1928	Buffalo	60.3
1929	Buffalo	79
1930	Buffalo	64.8
1931	Buffalo	49.6
1932	Buffalo	54.7
1933	Buffalo	71.8
1934	Buffalo	49.1
1935	Buffalo	103.9
1936	Buffalo	51.6
1937	Buffalo	81.6
1918	Cairo	1.8
1919	Cairo	4.5
1920	Cairo	13.9
1921	Cairo	4
1922	Cairo	1.2
1923	Cairo	6.8
1924	Cairo	7.2
1925	Cairo	11.5
1926	Cairo	6.2
1927	Cairo	0.4
1928	Cairo	11.5
1929	Cairo	12.4
1930	Cairo	11.3
1931	Cairo	2.9
1932	Cairo	7.4
1933	Cairo	2.7
1934	Cairo	1.6
1935	Cairo	14.1
1936	Cairo	5.4
1937	Cairo	3
